X,Y,L
-174320.71406238244,745112.3508775189,n502
-174318.93409679944,745111.4388892935,n503
-174317.15413121643,745110.526901068,n504
-174315.37416563343,745109.6149128426,n505
-174313.59420005043,745108.7029246172,n506
-174311.81423446743,745107.7909363918,n507
-174310.03426888442,745106.8789481664,n508
-174308.25430330142,745105.966959941,n509
-174307.5065661131,745105.5838471898,n510
-174305.81424972613,745104.5179835745,n511
-174304.12193333916,745103.4521199592,n512
-174302.4296169522,745102.3862563439,n513
-174301.9310958014,745102.0722751284,n514
-174300.2387795984,745101.0064112211,n515
-174298.5464633954,745099.9405473137,n516
-174296.8541471924,745098.8746834063,n517
-174295.1618309894,745097.8088194989,n518
-174293.46951478644,745096.7429555915,n519
-174291.77719858344,745095.6770916841,n520
-174290.08488238044,745094.6112277767,n521
-174288.39256617744,745093.5453638693,n522
-174286.70024997444,745092.479499962,n523
-174285.81814312344,745091.9239265689,n524
-174284.1258271532,745090.858062292,n525
-174282.433511183,745089.792198015,n526
-174280.74119521276,745088.7263337381,n527
-174279.04887924253,745087.6604694611,n528
-174277.3565632723,745086.5946051842,n529
-174275.66424730208,745085.5287409072,n530
-174274.49726353277,745084.7937444092,n531
-174272.90144640047,745083.5881874092,n532
-174271.3056292682,745082.3826304092,n533
-174269.7098121359,745081.1770734092,n534
-174269.59580951097,745081.0909503442,n535
-174267.99999274398,745079.8853928606,n536
-174266.40417597696,745078.6798353771,n537
-174264.80835920997,745077.4742778935,n538
-174263.21254244298,745076.26872041,n539
-174261.61672567597,745075.0631629265,n540
-174260.02090890898,745073.8576054429,n541
-174258.425092142,745072.6520479593,n542
-174256.82927537497,745071.4464904758,n543
-174255.23345860798,745070.2409329922,n544
-174253.637641841,745069.0353755086,n545
-174252.04182507397,745067.8298180251,n546
-174250.446008307,745066.6242605415,n547
-174248.85019154,745065.4187030579,n548
-174247.25437477298,745064.2131455744,n549
-174245.658558006,745063.0075880908,n550
-174244.062741239,745061.8020306072,n551
-174242.46692447198,745060.5964731238,n552
-174240.871107705,745059.3909156402,n553
-174239.275290938,745058.1853581566,n554
-174237.679474171,745056.9798006731,n555
-174236.083657404,745055.7742431895,n556
-174235.23279434527,745055.1314599144,n557
-174233.63697796967,745053.9259019127,n558
-174232.04116159404,745052.7203439111,n559
-174230.44534521844,745051.5147859094,n560
-174228.84952884284,745050.3092279078,n561
-174227.5232567158,745049.3072968589,n562
-174225.92744048283,745048.1017386684,n563
-174224.33162424984,745046.8961804779,n564
-174222.73580801688,745045.6906222875,n565
-174221.1399917839,745044.4850640971,n566
-174219.89813896647,745043.5469073065,n567
-174450.07629646442,744996.1083536512,n568
-174448.3265385986,744995.1396703124,n569
-174446.57678073275,744994.1709869736,n570
-174444.82702286693,744993.2023036347,n571
-174443.07726500108,744992.2336202959,n572
-174441.32750713523,744991.264936957,n573
-174439.5777492694,744990.2962536183,n574
-174437.82799140355,744989.3275702795,n575
-174436.0782335377,744988.3588869406,n576
-174434.32847567188,744987.3902036018,n577
-174432.57871780603,744986.421520263,n578
-174430.8289599402,744985.4528369241,n579
-174429.07920207435,744984.4841535853,n580
-174427.3294442085,744983.5154702464,n581
-174425.57968634268,744982.5467869076,n582
-174423.82992847683,744981.5781035688,n583
-174422.080170611,744980.6094202299,n584
-174420.33041274516,744979.6407368911,n585
-174418.5806548793,744978.6720535522,n586
-174416.83089701348,744977.7033702134,n587
-174415.08113914763,744976.7346868747,n588
-174413.3313812818,744975.7660035358,n589
-174411.58162341596,744974.797320197,n590
-174410.37201894773,744974.1276711456,n591
-174408.57863150386,744973.2423681036,n592
-174406.78524406,744972.3570650616,n593
-174404.99185661614,744971.4717620196,n594
-174403.1984691723,744970.5864589775,n595
-174401.40508172842,744969.7011559355,n596
-174399.61169428457,744968.8158528935,n597
-174397.8183068407,744967.9305498515,n598
-174396.02491939685,744967.0452468095,n599
-174394.23153195297,744966.1599437675,n600
-174392.4381445091,744965.2746407255,n601
-174390.64475706525,744964.3893376834,n602
-174388.85136962138,744963.5040346414,n603
-174387.05798217753,744962.6187315994,n604
-174385.26459473366,744961.7334285574,n605
-174383.4712072898,744960.8481255154,n606
-174381.67781984594,744959.9628224734,n607
-174379.8844324021,744959.0775194314,n608
-174378.09104495822,744958.1922163893,n609
-174376.29765751434,744957.3069133473,n610
-174374.5042700705,744956.4216103053,n611
-174372.71088262662,744955.5363072633,n612
-174370.91749518277,744954.6510042213,n613
-174369.1241077389,744953.7657011793,n614
-174367.33072029505,744952.8803981373,n615
-174365.53733285118,744951.9950950952,n616
-174365.35068423365,744951.9029562831,n617
-174363.58100625232,744950.9711623989,n618
-174361.811328271,744950.0393685149,n619
-174360.04165028967,744949.1075746308,n620
-174358.27197230837,744948.1757807467,n621
-174356.50229432705,744947.2439868626,n622
-174354.73261634572,744946.3121929786,n623
-174352.9629383644,744945.3803990944,n624
-174351.19326038306,744944.4486052104,n625
-174349.42358240174,744943.5168113263,n626
-174347.65390442044,744942.5850174422,n627
-174345.8842264391,744941.6532235581,n628
-174344.1145484578,744940.7214296741,n629
-174342.34487047646,744939.7896357899,n630
-174340.57519249513,744938.8578419058,n631
-174338.8055145138,744937.9260480218,n632
-174337.0358365325,744936.9942541376,n633
-174335.26615855118,744936.0624602536,n634
-174334.61218674216,744935.7181225049,n635
-174332.8797243856,744934.7188356676,n636
-174331.14726202903,744933.7195488304,n637
-174329.41479967246,744932.7202619931,n638
-174327.6823373159,744931.720975156,n639
-174325.94987495933,744930.7216883186,n640
-174324.21741260277,744929.7224014815,n641
-174322.4849502462,744928.7231146442,n642
-174320.75248788964,744927.723827807,n643
-174319.02002553307,744926.7245409697,n644
-174317.2875631765,744925.7252541325,n645
-174315.55510081994,744924.7259672952,n646
-174313.82263846337,744923.7266804579,n647
-174312.0901761068,744922.7273936208,n648
-174310.35771375024,744921.7281067835,n649
-174308.62525139368,744920.7288199463,n650
-174306.8927890371,744919.729533109,n651
-174305.16032668055,744918.7302462718,n652
-174303.42786432398,744917.7309594345,n653
-174301.69540196742,744916.7316725974,n654
-174299.96293961085,744915.73238576,n655
-174298.23047725428,744914.7330989229,n656
-174296.49801489772,744913.7338120856,n657
-174294.76555254115,744912.7345252483,n658
-174293.0330901846,744911.7352384111,n659
-174291.30062782802,744910.7359515738,n660
-174289.56816547146,744909.7366647366,n661
-174287.8357031149,744908.7373778993,n662
-174286.10324075833,744907.7380910622,n663
-174284.37077840176,744906.7388042249,n664
-174282.6383160452,744905.7395173877,n665
-174280.90585368863,744904.7402305504,n666
-174279.17339133206,744903.7409437131,n667
-174277.4409289755,744902.7416568759,n668
-174275.70846661893,744901.7423700386,n669
-174273.97600426237,744900.7430832015,n670
-174272.94589285404,744900.1489134249,n671
-174271.17807615624,744899.2135930932,n672
-174269.41025945844,744898.2782727615,n673
-174267.6424427606,744897.3429524298,n674
-174265.8746260628,744896.407632098,n675
-174264.106809365,744895.4723117662,n676
-174262.3389926672,744894.5369914345,n677
-174260.57117596938,744893.6016711028,n678
-174258.80335927158,744892.6663507711,n679
-174257.03554257378,744891.7310304394,n680
-174255.26772587598,744890.7957101075,n681
-174253.49990917815,744889.8603897758,n682
-174251.73209248035,744888.9250694441,n683
-174249.96427578255,744887.9897491124,n684
-174248.19645908475,744887.0544287807,n685
-174246.42864238695,744886.119108449,n686
-174244.66082568912,744885.1837881171,n687
-174242.89300899132,744884.2484677854,n688
-174241.12519229352,744883.3131474537,n689
-174239.35737559572,744882.377827122,n690
-174237.5895588979,744881.4425067903,n691
-174235.8217422001,744880.5071864586,n692
-174234.0539255023,744879.5718661267,n693
-174232.2861088045,744878.636545795,n694
